School Name,Rank in America,School District,School State,School Grade Level,Rating,User Reviews,Overall Niche Grade,School Strength,Student Teacher Ratio,Extracted Date
Otselic Valley Junior/Senior High School,nan,Georgetown-South Otselic Central School District,NY,"PK, K-12",3.5,5,C,337,10:1,2019-03-19 01:01:35.289762
Academy for Environmental Leadership,nan,New York City Geographic District No. 32,NY,K-12,3.0,21,C,327,14:1,2019-03-19 01:01:35.289769
PS 92 - Mary McLeod Bethune,nan,New York City Geographic District No. 5,NY,"PK, K-5",nan,nan,C,294,11:1,2019-03-19 01:01:35.289776
Campbell-Savona Junior/Senior High School,nan,Campbell-Savona Central School District,NY,7-12,3.5,24,C,376,11:1,2019-03-19 01:01:35.289782
West Side Elementary School,nan,Gouverneur Central School District,NY,"PK, K-5",nan,nan,C,286,14:1,2019-03-19 01:01:35.289789
Martin Luther King Jr Elementary School,nan,Utica City School District,NY,"PK, K-6",nan,nan,C,324,14:1,2019-03-19 01:01:35.289795
PS/IS 384 - Frances E Carter,nan,New York City Geographic District No. 32,NY,"PK, K-8",nan,nan,C,632,16:1,2019-03-19 01:01:35.289801
East New York Elementary School of Excellence,nan,New York City Geographic District No. 19,NY,"PK, K-5",nan,nan,C,565,15:1,2019-03-19 01:01:35.289806
PS 305 - McKinley High School,nan,Buffalo City School District,NY,9-12,4.0,36,C,981,14:1,2019-03-19 01:01:35.289813
General Brown Junior/Senior High School,nan,General Brown Central School District,NY,7-12,2.5,36,C,661,16:1,2019-03-19 01:01:35.289819
Nelson Mandela School for Social Justice,nan,New York City Geographic District No. 16,NY,9-10,4.5,5,C,214,14:1,2019-03-19 01:01:35.289825
PS 5 - Dr Ronald McNair,nan,New York City Geographic District No. 16,NY,"PK, K-5",nan,nan,C,237,48:1,2019-03-19 01:01:35.289832
Bedford Stuyvesant Preparatory High School,nan,New York City Geographic District No. 13,NY,10-12,3.0,6,C,137,13:1,2019-03-19 01:01:35.289838
Boulevard School,nan,Gloversville City School District,NY,"PK, K-5",nan,nan,C,383,13:1,2019-03-19 01:01:35.289844
PS 35 - Nathaniel Woodhull,nan,New York City Geographic District No. 29,NY,"PK, K-5",nan,nan,C,651,15:1,2019-03-19 01:01:35.289849
Merrick Academy - Queens Public Charter School,nan,Springfield Gardens,NY,K-5,nan,nan,C,530,14:1,2019-03-19 01:01:35.289871
Roosevelt High School,nan,Roosevelt Union Free School District,NY,7-12,3.5,143,C,993,15:1,2019-03-19 01:01:35.289878
Benjamin Cosor Elementary School,nan,Fallsburg Central School District,NY,"PK, K-6",nan,nan,C,795,12:1,2019-03-19 01:01:35.289884
School 23,nan,Yonkers City School District,NY,"PK, K-8",nan,nan,C,586,20:1,2019-03-19 01:01:35.289890
Linden Tree Elementary School,nan,New York City Geographic District No. 11,NY,"PK, K-3",nan,nan,C,268,17:1,2019-03-19 01:01:35.289896
Philip J Schuyler Achievement Academy,nan,Albany City School District,NY,"PK, K-5",nan,nan,C,226,9:1,2019-03-19 01:01:35.289902
East Side Elementary School,nan,Gouverneur Central School District,NY,"PK, K-5",nan,nan,C,450,15:1,2019-03-19 01:01:35.289908
The Metropolitan Soundview High School,nan,New York City Geographic District No. 12,NY,8-12,4.0,16,C,414,14:1,2019-03-19 01:01:35.289914
