School Name,Rank in America,School District,School State,School Grade Level,Rating,User Reviews,Overall Niche Grade,School Strength,Student Teacher Ratio,Extracted Date
PS/IS 295,nan,New York City Geographic District No. 29,NY,"PK, K-8",nan,nan,B-,543,16:1,2019-03-19 01:01:35.281089
PS 169 - Sunset Park,nan,New York City Geographic District No. 15,NY,K-5,nan,nan,B-,"1,635",16:1,2019-03-19 01:01:35.281095
PS 112 - Dutch Kills,nan,New York City Geographic District No. 30,NY,"PK, K-5",nan,nan,B-,527,14:1,2019-03-19 01:01:35.281102
Granby Elementary School,nan,Fulton City School District,NY,K-6,5.0,1,B-,491,13:1,2019-03-19 01:01:35.281108
Waterloo High School,nan,Waterloo Central School District,NY,8-12,3.5,47,B-,528,13:1,2019-03-19 01:01:35.281114
Thurgood Marshall Academy Lower School,nan,New York City Geographic District No. 5,NY,K-5,nan,nan,B-,220,15:1,2019-03-19 01:01:35.281120
Beaver River Elementary School,nan,Beaver River Central School District,NY,"PK, K-5",nan,nan,B-,444,17:1,2019-03-19 01:01:35.281126
School for Global Leaders,nan,New York City Geographic District No. 1,NY,6-8,3.5,3,B-,258,10:1,2019-03-19 01:01:35.281132
Humanities Preparatory Academy,nan,New York City Geographic District No. 2,NY,8-12,3.5,56,B-,208,14:1,2019-03-19 01:01:35.281138
Elba Junior/Senior High School,nan,Elba Central School District,NY,7-12,3.0,14,B-,187,12:1,2019-03-19 01:01:35.281144
Glenn Curtiss Memorial School,nan,Hammondsport Central School District,NY,"PK, K-6",nan,nan,B-,256,11:1,2019-03-19 01:01:35.281150
PS 93 - William H Prescott,nan,New York City Geographic District No. 13,NY,"PK, K-5",4.0,1,B-,298,15:1,2019-03-19 01:01:35.281156
Randolph Senior High School,nan,Randolph Central School District,NY,7-12,4.0,17,B-,402,11:1,2019-03-19 01:01:35.281162
Urban Assembly School of Design & Construction,nan,New York City Geographic District No. 2,NY,8-12,3.5,41,B-,405,16:1,2019-03-19 01:01:35.281168
Soule Road Elementary School,nan,Liverpool Central School District,NY,K-6,nan,nan,B-,433,14:1,2019-03-19 01:01:35.281174
PS 54 - Hillside,nan,New York City Geographic District No. 28,NY,K-5,3.0,1,B-,588,14:1,2019-03-19 01:01:35.281180
Watkins Glen Elementary School,nan,Watkins Glen Central School District,NY,"PK, K-6",nan,nan,B-,572,12:1,2019-03-19 01:01:35.281185
The Urban Assembly School for Emergency Management,nan,New York City Geographic District No. 2,NY,8-11,3.5,12,B-,259,12:1,2019-03-19 01:01:35.281191
Hillcrest High School,nan,New York City Geographic District No. 28,NY,8-12,3.5,545,B-,"3,283",22:1,2019-03-19 01:01:35.281197
PS 94 - The Henry Longfellow,nan,New York City Geographic District No. 15,NY,K-5,nan,nan,B-,"1,527",16:1,2019-03-19 01:01:35.281203
Westfield Middle School,nan,Westfield Central School District,NY,6-8,nan,nan,B-,153,17:1,2019-03-19 01:01:35.281209
Brooklyn East Collegiate Charter School,nan,Brooklyn,NY,5-10,3.5,2,B-,385,15:1,2019-03-19 01:01:35.281215
Mannsville Manor Elementary School,nan,South Jefferson Central School District,NY,"PK, K-5",nan,nan,B-,358,15:1,2019-03-19 01:01:35.281221
Harvest Collegiate High School,nan,New York City Geographic District No. 2,NY,9-12,3.5,27,B-,458,13:1,2019-03-19 01:01:35.281227
Renaissance High School for Musical Theater & Technology,nan,New York City Geographic District No. 8,NY,8-12,3.5,68,B-,451,16:1,2019-03-19 01:01:35.281233
Bronx Global Learning Institute for Girls Charter School,nan,Bronx,NY,K-8,nan,nan,B-,430,14:1,2019-03-19 01:01:35.281240
PS 316 - Elijah Stroud,nan,New York City Geographic District No. 17,NY,"PK, K-5",4.0,1,B-,433,11:1,2019-03-19 01:01:35.281246
Mary J Tanner Primary School,nan,Granville Central School District,NY,"PK, K-4",nan,nan,B-,320,13:1,2019-03-19 01:01:35.281252
Fishers Island School,nan,Fishers Island,NY,"PK, K-12",4.5,10,B-,70,5:1,2019-03-19 01:01:35.281257
North Park Junior High School,nan,Lockport City School District,NY,7-8,1.0,1,B-,696,11:1,2019-03-19 01:01:35.281263
Westbury High School,nan,Westbury Union Free School District,NY,9-12,3.5,141,B-,"1,457",19:1,2019-03-19 01:01:35.281269
East Syracuse Elementary School,nan,East Syracuse-Minoa Central School District,NY,K-5,nan,nan,B-,330,10:1,2019-03-19 01:01:35.281275
Abraham Lincoln High School,nan,New York City Geographic District No. 21,NY,9-12,3.5,280,B-,"2,099",18:1,2019-03-19 01:01:35.281281
Onondaga Senior High School,nan,Onondaga Central School District,NY,7-12,3.5,44,B-,408,12:1,2019-03-19 01:01:35.281287
Cheektowaga High School,nan,Cheektowaga Central School District,NY,9-12,3.5,101,B-,616,13:1,2019-03-19 01:01:35.281293
Oak Orchard School,nan,Medina Central School District,NY,"PK, K-3",nan,nan,B-,505,12:1,2019-03-19 01:01:35.281299
Mott Hall Bronx High School,nan,New York City Geographic District No. 9,NY,8-12,4.0,32,B-,407,16:1,2019-03-19 01:01:35.281305
Highland Middle School,nan,Highland Central School District,NY,6-8,nan,nan,B-,411,12:1,2019-03-19 01:01:35.281310
Tioga Senior High School,nan,Tioga Central School District,NY,9-12,3.0,18,B-,295,17:1,2019-03-19 01:01:35.281316
Alexander Middle/High School,nan,Alexander Central School District,NY,6-12,3.5,37,B-,452,12:1,2019-03-19 01:01:35.281321
PS 46 - Albert V Maniscalco,nan,New York City Geographic District No. 31,NY,"PK, K-5",nan,nan,B-,294,12:1,2019-03-19 01:01:35.281327
Cumberland Head Elementary School,nan,Beekmantown Central School District,NY,"PK, K-5",nan,nan,B-,453,11:1,2019-03-19 01:01:35.281333
River East Elementary School,nan,New York City Geographic District No. 4,NY,"PK, K-5",nan,nan,B-,200,10:1,2019-03-19 01:01:35.281338
Colonial Village Elementary School,nan,Niagara-Wheatfield Central School District,NY,K-5,nan,nan,B-,411,14:1,2019-03-19 01:01:35.281344
PS 69 - The New Visions School,nan,New York City Geographic District No. 8,NY,"PK, K-5",nan,nan,B-,631,15:1,2019-03-19 01:01:35.281350
Child Development Center of the Hamptons Charter School,nan,Wainscott,NY,K-5,nan,nan,B-,55,11:1,2019-03-19 01:01:35.281355
Weedsport Elementary School,nan,Weedsport Central School District,NY,K-6,nan,nan,B-,398,14:1,2019-03-19 01:01:35.281361
Frankfort-Schuyler Central High School,nan,Frankfort-Schuyler Central School District,NY,9-12,3.0,15,B-,318,15:1,2019-03-19 01:01:35.281367
Alexander Elementary School,nan,Alexander Central School District,NY,"PK, K-5",nan,nan,B-,408,13:1,2019-03-19 01:01:35.281373
"Math, Engineering & Science Charter High School",nan,Brooklyn,NY,9-11,4.5,8,B-,354,11:1,2019-03-19 01:01:35.281379
PS 64 - Robert Simon,nan,New York City Geographic District No. 1,NY,"PK, K-5",nan,nan,B-,254,9:1,2019-03-19 01:01:35.281385
Cuba-Rushford Middle School,nan,Cuba-Rushford Central School District,NY,4-8,nan,nan,B-,206,15:1,2019-03-19 01:01:35.281391
PS 151 - Mary D Carter,nan,New York City Geographic District No. 30,NY,"PK, K-5",nan,nan,B-,433,13:1,2019-03-19 01:01:35.281398
Louis V Denti Elementary School,nan,Rome City School District,NY,K-4,nan,nan,B-,534,15:1,2019-03-19 01:01:35.281403
Rochester Academy Charter School,nan,Rochester,NY,7-12,3.5,72,B-,370,10:1,2019-03-19 01:01:35.281409
Union Square Academy for Health Sciences,nan,New York City Geographic District No. 2,NY,9-12,4.0,30,B-,418,14:1,2019-03-19 01:01:35.281415
Cato-Meridian Middle School,nan,Cato-Meridian Central School District,NY,5-8,nan,nan,B-,292,14:1,2019-03-19 01:01:35.281435
Evergreen Charter School,nan,Hempstead,NY,K-5,nan,nan,B-,301,10:1,2019-03-19 01:01:35.281442
Pembroke Junior/Senior High School,nan,Pembroke Central School District,NY,7-12,4.0,79,B-,436,11:1,2019-03-19 01:01:35.281447
Western New York Maritime Charter School,nan,Buffalo,NY,9-12,4.0,23,B-,338,11:1,2019-03-19 01:01:35.281465
"Science, Technology & Research High School at Erasmus",nan,New York City Geographic District No. 17,NY,6-12,3.5,71,B-,532,19:1,2019-03-19 01:01:35.281471
Hillside Arts & Letters Academy,nan,New York City Geographic District No. 28,NY,8-12,4.0,57,B-,480,17:1,2019-03-19 01:01:35.281480
Queens Technical High School,nan,New York City Geographic District No. 24,NY,9-12,4.0,110,B-,"1,577",19:1,2019-03-19 01:01:35.281486
Mechanicville Elementary School,nan,Mechanicville City School District,NY,K-5,nan,nan,B-,660,14:1,2019-03-19 01:01:35.281492
Sullivan West Secondary School,nan,Sullivan West Central School District,NY,7-12,3.5,52,B-,492,12:1,2019-03-19 01:01:35.281498
MS/HS 141 - Riverdale/Kingsbridge Academy,nan,New York City Geographic District No. 10,NY,5-12,3.5,127,B-,"1,419",16:1,2019-03-19 01:01:35.281504
James A Green High School,nan,Dolgeville Central School District,NY,9-12,3.5,28,B-,288,18:1,2019-03-19 01:01:35.281510
PS 15 - Roberto Clemente,nan,New York City Geographic District No. 1,NY,"PK, K-5",nan,nan,B-,174,8:1,2019-03-19 01:01:35.281517
PS 206 - Jose Celso Barbosa,nan,New York City Geographic District No. 4,NY,2-8,nan,nan,B-,485,8:1,2019-03-19 01:01:35.281523
Owego-Apalachin Middle School,nan,Owego-Apalachin Central School District,NY,6-8,nan,nan,B-,494,15:1,2019-03-19 01:01:35.281529
LaFayette Intermediate School,nan,Waterloo Central School District,NY,3-5,nan,nan,B-,359,10:1,2019-03-19 01:01:35.281535
Attica Senior High School,nan,Attica Central School District,NY,9-12,3.5,51,B-,464,12:1,2019-03-19 01:01:35.281542
Springs School,nan,East Hampton,NY,"PK, K-8",4.5,2,B-,731,12:1,2019-03-19 01:01:35.281548
Montessori School 27,nan,Yonkers City School District,NY,"PK, K-6",nan,nan,B-,369,25:1,2019-03-19 01:01:35.281554
Flushing International High School,nan,New York City Geographic District No. 25,NY,9-12,4.5,20,B-,431,16:1,2019-03-19 01:01:35.281560
New Visions Charter High School for Advanced Math and Science 2,nan,Bronx,NY,9-12,4.0,21,B-,512,13:1,2019-03-19 01:01:35.281566
Sodus Elementary School,nan,Sodus Central School District,NY,"PK, K-5",nan,nan,B-,358,11:1,2019-03-19 01:01:35.281572
Newtown High School,nan,New York City Geographic District No. 24,NY,9-12,3.5,96,B-,"1,939",18:1,2019-03-19 01:01:35.281578
Union Springs Middle/High School,nan,Union Springs Central School District,NY,7-12,4.0,45,B-,408,23:1,2019-03-19 01:01:35.281584
MS 247 - Dual Language Middle School,nan,New York City Geographic District No. 3,NY,6-8,nan,nan,B-,193,10:1,2019-03-19 01:01:35.281591
Harvey C Fenner Elementary School,nan,Falconer Central School District,NY,3-5,nan,nan,B-,262,15:1,2019-03-19 01:01:35.281596
Chambers School,nan,Kingston City School District,NY,K-4,nan,nan,B-,367,13:1,2019-03-19 01:01:35.281602
IS 181 - Pablo Casals,nan,New York City Geographic District No. 11,NY,6-8,5.0,1,B-,861,14:1,2019-03-19 01:01:35.281607
PS 225 - The Eileen E Zaglin School,nan,New York City Geographic District No. 21,NY,"PK, K-8",3.5,4,B-,"1,003",13:1,2019-03-19 01:01:35.281613
Prattsburgh Central School,nan,Prattsburgh Central School District,NY,"PK, K-12",4.0,6,B-,394,11:1,2019-03-19 01:01:35.281619
Remsen Junior/Senior High School,nan,Remsen Central School District,NY,7-12,3.0,23,B-,206,10:1,2019-03-19 01:01:35.281625
Ann G McGuinness Intermediate School,nan,Union-Endicott Central School District,NY,K-5,nan,nan,B-,398,15:1,2019-03-19 01:01:35.281631
Alden Place Elementary School,nan,Millbrook Central School District,NY,3-5,nan,nan,B-,208,13:1,2019-03-19 01:01:35.281637
Northeastern Clinton Middle School,nan,Northeastern Clinton Central School District,NY,6-8,nan,nan,B-,278,17:1,2019-03-19 01:01:35.281642
PS 119 - Amersfort,nan,New York City Geographic District No. 22,NY,"PK, K-5",nan,nan,B-,406,14:1,2019-03-19 01:01:35.281648
Oakfield-Alabama Middle/High School,nan,Oakfield-Alabama Central School District,NY,7-12,3.5,59,B-,354,9:1,2019-03-19 01:01:35.281654
JHS 14 - Shell Bank,nan,New York City Geographic District No. 22,NY,6-8,4.0,2,B-,519,11:1,2019-03-19 01:01:35.281660
Sherman High School,nan,Sherman Central School District,NY,7-12,4.0,42,B-,189,17:1,2019-03-19 01:01:35.281666
Gowanda High School,nan,Gowanda Central School District,NY,9-12,3.0,42,B-,379,11:1,2019-03-19 01:01:35.281672
Morris Central School,nan,Morris Central School District,NY,"PK, K-12",3.5,20,B-,363,9:1,2019-03-19 01:01:35.281677
The New Visions Charter High School for the Humanities,nan,Bronx,NY,9-12,4.0,11,B-,507,13:1,2019-03-19 01:01:35.281683
Mayfield Elementary School,nan,Mayfield Central School District,NY,"PK, K-6",4.0,6,B-,495,14:1,2019-03-19 01:01:35.281689
The New School for Leadership and the Arts,nan,New York City Geographic District No. 10,NY,5-8,3.5,3,B-,766,14:1,2019-03-19 01:01:35.281695
Middle College High School,nan,New York City Geographic District No. 24,NY,8-12,4.0,59,B-,512,21:1,2019-03-19 01:01:35.281702
Marcus Whitman Middle School,nan,Marcus Whitman Central School District,NY,6-8,nan,nan,B-,243,10:1,2019-03-19 01:01:35.281707
Byron-Bergen Junior/Senior High School,nan,Byron-Bergen Central School District,NY,7-12,4.0,38,B-,471,11:1,2019-03-19 01:01:35.281713
Livingston Manor High School,nan,Livingston Manor Central School District,NY,7-12,3.0,3,B-,195,10:1,2019-03-19 01:01:35.281719
Freeport High School,nan,Freeport Union Free School District,NY,9-12,3.5,239,B-,"2,237",15:1,2019-03-19 01:01:35.281725
PS 80 - Thurgood Marshall Magnet,nan,New York City Geographic District No. 28,NY,"PK, K-8",nan,nan,B-,547,13:1,2019-03-19 01:01:35.281732
PS 203 Floyd Bennett School,nan,New York City Geographic District No. 22,NY,"PK, K-5",nan,nan,B-,817,15:1,2019-03-19 01:01:35.281738
Livingston Manor Elementary School,nan,Livingston Manor Central School District,NY,"PK, K-6",5.0,1,B-,242,12:1,2019-03-19 01:01:35.281745
Berne-Knox-Westerlo Elementary School,nan,Berne-Knox-Westerlo Central School District,NY,K-6,nan,nan,B-,401,13:1,2019-03-19 01:01:35.281751
Germantown Elementary School,nan,Germantown Central School District,NY,"PK, K-6",nan,nan,B-,333,12:1,2019-03-19 01:01:35.281757
Copenhagen Central School,nan,Copenhagen Central School District,NY,"PK, K-12",4.0,29,B-,424,10:1,2019-03-19 01:01:35.281763
PAVE Academy Charter School,nan,Brooklyn,NY,"PK, K-8",nan,nan,B-,469,16:1,2019-03-19 01:01:35.281768
Frances Perkins Academy,nan,New York City Geographic District No. 14,NY,9-12,4.0,11,B-,114,8:1,2019-03-19 01:01:35.281774
Camden Middle School,nan,Camden Central School District,NY,5-8,nan,nan,B-,641,11:1,2019-03-19 01:01:35.281779
Hugh R Jones Elementary School,nan,Utica City School District,NY,K-6,nan,nan,B-,424,21:1,2019-03-19 01:01:35.281785
J Watson Bailey Middle School,nan,Kingston City School District,NY,5-8,nan,nan,B-,"1,039",13:1,2019-03-19 01:01:35.281791
Bronx Preparatory Charter School,nan,Bronx,NY,6-12,3.5,126,B-,709,12:1,2019-03-19 01:01:35.281796
PS 238 - Anne Sullivan,nan,New York City Geographic District No. 21,NY,"PK, K-8",4.5,5,B-,543,10:1,2019-03-19 01:01:35.281802
Clinton V Bush Elementary School,nan,Jamestown City School District,NY,"PK, K-4",nan,nan,B-,285,12:1,2019-03-19 01:01:35.281808
Chestnut Hill Middle School,nan,Liverpool Central School District,NY,7-8,nan,nan,B-,335,13:1,2019-03-19 01:01:35.281813
Tamarac Middle School High School,nan,Brunswick Central School District (Brittonkill),NY,6-12,3.0,38,B-,670,12:1,2019-03-19 01:01:35.281818
The Carroll Gardens School for Innovation,nan,New York City Geographic District No. 15,NY,6-8,4.0,1,B-,218,8:1,2019-03-19 01:01:35.281825
PS 18 - John G Whittier,nan,New York City Geographic District No. 31,NY,"PK, K-5",nan,nan,B-,623,12:1,2019-03-19 01:01:35.281831
Casimir Pulaski School,nan,Yonkers City School District,NY,"PK, K-8",nan,nan,B-,608,25:1,2019-03-19 01:01:35.281836
Central Square Intermediate School,nan,Central Square Central School District,NY,3-5,nan,nan,B-,336,17:1,2019-03-19 01:01:35.281859
Wilson High School,nan,Wilson Central School District,NY,6-12,3.5,67,B-,694,12:1,2019-03-19 01:01:35.281866
Floyd Harwood Elementary School,nan,Hartford Central School District,NY,"PK, K-5",nan,nan,B-,209,12:1,2019-03-19 01:01:35.281872
Weedsport Junior/Senior High School,nan,Weedsport Central School District,NY,7-12,3.5,22,B-,405,12:1,2019-03-19 01:01:35.281877
Madison Elementary School,nan,Massena Central School District,NY,"PK, K-6",nan,nan,B-,485,15:1,2019-03-19 01:01:35.281884
MS 180 - Dr Daniel Hale Williams,nan,New York City Geographic District No. 11,NY,5-8,4.5,3,B-,851,16:1,2019-03-19 01:01:35.281890
Urban Institute of Mathematics,nan,New York City Geographic District No. 8,NY,6-8,3.5,10,B-,282,14:1,2019-03-19 01:01:35.281897
Chenango Forks Elementary School,nan,Chenango Forks Central School District,NY,"PK, K-5",nan,nan,B-,700,14:1,2019-03-19 01:01:35.281903
Eldred Junior/Senior High School,nan,Eldred Central School District,NY,7-12,3.0,24,B-,291,11:1,2019-03-19 01:01:35.281910
MS 839,nan,New York City Geographic District No. 15,NY,nan,1.0,1,B-,105,12:1,2019-03-19 01:01:35.281916
Lake Placid Elementary School,nan,Lake Placid Central School District,NY,K-5,nan,nan,B-,268,10:1,2019-03-19 01:01:35.281929
School of Science & Technology,nan,New York City Geographic District No. 22,NY,"PK, K-5",nan,nan,B-,810,15:1,2019-03-19 01:01:35.281935
North Syracuse Junior High School,nan,North Syracuse Central School District,NY,8-9,nan,nan,B-,"1,406",15:1,2019-03-19 01:01:35.281941
Holley Elementary School,nan,Holley Central School District,NY,"PK, K-6",nan,nan,B-,568,15:1,2019-03-19 01:01:35.281947
Falconer Middle/High School,nan,Falconer Central School District,NY,6-12,4.0,21,B-,608,11:1,2019-03-19 01:01:35.281952
Peru Jr/Sr High School,nan,Peru Central School District,NY,7-12,3.5,70,B-,890,11:1,2019-03-19 01:01:35.281958
Landing Elementary School,nan,Glen Cove City School District,NY,3-5,5.0,1,B-,345,13:1,2019-03-19 01:01:35.281964
Middleburgh Junior/Senior High School,nan,Middleburgh Central School District,NY,7-12,3.0,29,B-,385,12:1,2019-03-19 01:01:35.281975
Dexter Elementary School,nan,General Brown Central School District,NY,"PK, K-6",nan,nan,B-,329,17:1,2019-03-19 01:01:35.281982
PS 242 - Gwendolyn Powell Brown Computer School,nan,New York City Geographic District No. 3,NY,"PK, K-5",nan,nan,B-,213,10:1,2019-03-19 01:01:35.281988
