School Name,Rank in America,District,State,School Grade Level,Rating,User Reviews,Overall Niche Grade,School Strength,Student Teacher Ratio,Extracted Date
Houston Academy,nan,Aldine Ind School District,TX,5-6,5.0,1,C+,621,14:1,2019-03-18 22:11:28.937044
Evangelina Garza Elementary School,nan,La Joya Ind School District,TX,"PK, K-5",nan,nan,C+,711,15:1,2019-03-18 22:11:28.937050
Lamar Middle School,nan,Irving Ind School District,TX,6-8,nan,nan,C+,829,15:1,2019-03-18 22:11:28.937057
Chillicothe Elementary School,nan,Chillicothe Ind School District,TX,"PK, K-6",nan,nan,C+,111,12:1,2019-03-18 22:11:28.937064
Miller High School & Metro School of Design,nan,Corpus Christi Ind School District,TX,7-12,4.0,52,C+,"1,389",16:1,2019-03-18 22:11:28.937070
Groesbeck High School,nan,Groesbeck Ind School District,TX,9-12,3.5,69,C+,470,12:1,2019-03-18 22:11:28.937078
Dr Palmira Mendiola Elementary School,nan,La Joya Ind School District,TX,"PK, K-5",nan,nan,C+,664,15:1,2019-03-18 22:11:28.937085
Sgt Leonel Trevino Elementary School,nan,Pharr-San Juan-Alamo Ind School District,TX,"PK, K-5",nan,nan,C+,603,18:1,2019-03-18 22:11:28.937092
Dr Lee Buice Elementary School,nan,Ector County Ind School District,TX,K-5,nan,nan,C+,579,17:1,2019-03-18 22:11:28.937099
Hillcrest Elementary School,nan,Plainview Ind School District,TX,"PK, K-5",nan,nan,C+,447,17:1,2019-03-18 22:11:28.937106
WH Adamson High School,nan,Dallas Ind School District,TX,9-12,3.5,219,C+,"1,515",18:1,2019-03-18 22:11:28.937112
Sinton High School,nan,Sinton Ind School District,TX,9-12,4.0,39,C+,639,13:1,2019-03-18 22:11:28.937119
Scotland Park Elementary School,nan,Wichita Falls Ind School District,TX,"PK, K-6",nan,nan,C+,531,15:1,2019-03-18 22:11:28.937125
Walzem Elementary School,nan,North East Ind School District,TX,"PK, K-5",5.0,1,C+,781,15:1,2019-03-18 22:11:28.937132
Sam Houston High School,nan,Arlington Ind School District,TX,9-12,4.0,476,C+,"3,630",16:1,2019-03-18 22:11:28.937139
Burns Elementary School,nan,Brownsville Ind School District,TX,"PK, K-5",1.0,1,C+,911,17:1,2019-03-18 22:11:28.937145
Ramirez-Burks Elementary School,nan,Cotulla Ind School District,TX,"PK, K-5",nan,nan,C+,568,14:1,2019-03-18 22:11:28.937152
